model,prompt,eng,hau,ibo,pcm,yor,avg_score
gemma-2-27b-it,prompt_2,94.8,85.2,81.8,91.0,59.6,79.4
gemma-2-27b-it,prompt_3,93.6,51.2,49.8,61.4,49.6,53.0
gemma-2-27b-it,prompt_4,95.8,87.4,90.6,92.6,73.2,86.0
gemma-2-27b-it,prompt_5,96.0,82.2,77.4,91.6,69.4,80.2
gemma-2-9b-it,prompt_1,62.4,50.6,50.0,52.2,50.0,50.7
gemma-2-9b-it,prompt_2,50.4,50.0,50.0,50.0,50.0,50.0
gemma-2-9b-it,prompt_3,94.6,52.2,50.8,61.4,50.2,53.7
gemma-2-9b-it,prompt_4,95.8,77.0,76.6,93.6,67.6,78.7
gemma-2-9b-it,prompt_5,94.2,78.6,68.0,91.6,64.4,75.7
gemini-1.5-pro-002,prompt_1,95.6,89.2,89.2,94.6,80.4,88.4
gemini-1.5-pro-003,prompt_2,50.0,50.0,50.0,50.0,50.0,50.0
gemini-1.5-pro-004,prompt_3,97.2,90.6,89.0,95.6,77.6,88.2
gemini-1.5-pro-005,prompt_4,96.0,89.0,89.0,94.8,80.6,88.4
gemini-1.5-pro-006,prompt_5,95.4,88.2,88.6,93.0,82.2,88.0
gpt-4o-2024-08-06,prompt_1,95.6,89.4,90.6,93.6,85.0,89.7
gpt-4o-2024-08-07,prompt_2,51.0,48.6,52.6,49.2,51.6,50.5
gpt-4o-2024-08-08,prompt_3,96.4,91.6,92.4,95.4,89.2,92.2
gpt-4o-2024-08-09,prompt_4,95.0,88.4,90.8,93.4,85.4,89.5
gpt-4o-2024-08-10,prompt_5,92.8,85.6,85.8,91.0,84.0,86.6
