model,prompt,bbj,fon,ibo,wol,yor,avg_score
Llama-3.1-8B-Instruct,prompt_4,19.05,25.39,26.64,37.37,20.99,25.9
Llama-3.1-8B-Instruct,prompt_5,15.56,17.88,14.29,29.69,13.29,18.1
Meta-Llama-3-8B-Instruct,prompt_1,13.41,28.01,23.69,40.53,19.34,25.0
Meta-Llama-3-8B-Instruct,prompt_2,14.01,21.17,21.98,35.73,21.07,22.8
Meta-Llama-3-8B-Instruct,prompt_3,17.92,28.88,22.42,34,14.07,23.5
Meta-Llama-3-8B-Instruct,prompt_4,26.7,29.02,18.84,41.5,22.77,27.8
Meta-Llama-3-8B-Instruct,prompt_5,12.49,26.54,14.77,30.82,22.22,21.4
aya-101,prompt_1,37.75,41.9,68.07,80.72,23.41,50.4
aya-101,prompt_2,35.76,41.78,68.01,80.76,23.81,50.0
aya-101,prompt_3,37.11,42.02,68.15,80.53,23.31,50.2
aya-101,prompt_4,34.79,41.29,68.06,79.86,23.53,49.5
aya-101,prompt_5,32.61,41.02,67.9,78.72,23.5,48.8
gemma-1.1-7b-it,prompt_1,45.5,40.35,65.37,75.85,23.37,50.1
gemma-1.1-7b-it,prompt_2,36.59,38.23,55.09,55.15,24.69,42.0
gemma-1.1-7b-it,prompt_3,45.73,39.44,67.33,77.97,23.65,50.8
gemma-1.1-7b-it,prompt_4,44.31,37.57,62.17,70.11,25.67,48.0
gemma-1.1-7b-it,prompt_5,38.01,34.47,55.68,64.68,25.53,43.7
gemma-2-27b-it,prompt_1,43.99,37.66,67.89,76.5,41.19,53.4
gemma-2-27b-it,prompt_2,44.03,39.48,67.88,75.91,43.63,54.2
gemma-2-27b-it,prompt_3,44.13,37.38,70.84,76.46,46.76,55.1
gemma-2-27b-it,prompt_4,45.04,39.22,60.62,72.41,45.95,52.6
gemma-2-27b-it,prompt_5,42.08,36.48,62.01,73.32,46.45,52.1
gemma-2-9b-it,prompt_1,45.02,37.62,64.74,78.09,24.63,50.0
gemma-2-9b-it,prompt_2,43.82,32.96,62.65,74.21,26.48,48.0
gemma-2-9b-it,prompt_3,45.43,37.68,66.62,78.19,27.07,51.0
gemma-2-9b-it,prompt_4,45.45,37.51,65.72,77.94,31.49,51.6
gemma-2-9b-it,prompt_5,43.29,36.13,64.44,75.53,35.99,51.1
gemini-1.5-pro-002,prompt_1,29.16,36.84,70.54,71.69,67.16,55.1
gemini-1.5-pro-003,prompt_2,29.02,39.14,71.78,70.80,67.07,55.6
gemini-1.5-pro-004,prompt_3,29.73,40.04,68.60,71.52,68.26,55.6
gemini-1.5-pro-005,prompt_4,26.66,38.53,64.19,71.01,67.65,53.6
gemini-1.5-pro-006,prompt_5,26.92,38.56,59.53,70.22,67.33,52.5
gpt-4o-2024-08-06,prompt_1,32.16,34.64,70.86,74.78,62.00,54.9
gpt-4o-2024-08-07,prompt_2,30.18,33.96,69.45,74.28,63.76,54.3
gpt-4o-2024-08-08,prompt_3,27.10,30.92,66.50,75.91,64.80,53.0
gpt-4o-2024-08-09,prompt_4,24.80,29.17,59.38,75.39,64.49,50.6
gpt-4o-2024-08-10,prompt_5,24.50,29.11,63.69,75.61,64.60,51.5
